Row,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,Sharks,per shark,Details / Notes
140,3,10,BarkΓÇÖemΓÇÖs To Go,No,Pet Products,Male,,,,,,,,,,,,0,,
141,3,11,ViewSport,No,Fitness / Sports,Male,,,,,,,,,,,,0,,
142,3,11,Blondies Cookies,No,Food and Beverage,Female,,,,,,,,,,,,0,,
143,3,11,Copa di Vino,No,Food and Beverage,Male,,,,,,,,,,,,0,,
144,3,11,The Sullivan Generator,No,Green/CleanTech,Male,,,,,,,,,,,,0,,
145,3,12,Lollacup,Yes,Children / Education,Mixed Team,"1,00,000",40%,"2,50,000",,1,,1,,,,,2,"50,000",
146,3,12,Nail Pak,Yes,Fashion / Beauty,Female,"50,000",40%,"1,25,000",,,1,,,,,,1,"50,000",
147,3,12,Debbie Brooks Handbags,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0,,
148,3,12,Trimi Tank,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
149,3,13,Villy Customs,Yes,Fitness / Sports,Male,"5,00,000",42%,"11,90,476",1,1,,,,,,,2,"2,50,000",
150,3,13,Boot Illusions,Yes,Fashion / Beauty,Mixed Team,"5,00,000",40%,"12,50,000",1,1,,,,,,,2,"2,50,000",
151,3,13,AirBedz,No,Consumer Products,Male,,,,,,,,,,,,0,,
152,3,13,Skyride,No,Uncertain / Other,Male,,,,,,,,,,,,0,,
153,3,14,Dance With Me,Yes,Fitness / Sports,Male,"1,00,000",50%,"2,00,000",,1,,,1,,,,2,"50,000",
154,3,14,Wild Squirrel Nut Butter,Yes,Food and Beverage,Female,"50,000",40%,"1,25,000",1,,,,,,,,1,"50,000",
155,3,14,Mix Bikini,Yes,Fashion / Beauty,Male,"50,000",25%,"2,00,000",1,,,,,,,,1,"50,000",
156,3,14,Cab20 Rock Band,No,Media / Entertainment,Male,,,,,,,,,,,,0,,
157,3,15,Remyxx ReKixx Sneakers,Yes,Fashion / Beauty,Male,"50,000",80%,"62,500",,,,,1,,,,1,"50,000",
158,3,15,UniKey Technologies,Yes,Software / Tech,Male,"5,00,000",40%,"12,50,000",,1,,,,1,,,2,"2,50,000",Deal did not close after snow (http://pando.com/2013/05/08/life-after-shark-tank-the-real-story-of-how-unikey-finally-came-to-market/)
159,3,15,The NitroForce Titan 1000,No,Fitness / Sports,Mixed Team,,,,,,,,,,,,0,,
160,3,15,Cougar Limited,No,Food and Beverage,Male,,,,,,,,,,,,0,,
161,4,1,Bev Buckle,Yes,Food and Beverage,Male,"50,000",51%,"98,039",1,,,,,,,,1,"50,000",
162,4,1,Buggy Beds,Yes,Lifestyle / Home,Female,"2,50,000",25%,"10,00,000",1,1,,1,1,1,,,5,"50,000",
163,4,1,Coat Chex,No,Business Services,Male,,,,,,,,,,,,0,,
164,4,1,Body Walking,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
165,4,2,SurfSet Fitness,Yes,Fitness / Sports,Mixed Team,"3,00,000",30%,"10,00,000",,1,,,,,,,1,"3,00,000",
166,4,2,CateApp,Yes,Software / Tech,Male,"75,000",30%,"2,50,000",,,,,1,1,,,2,"37,500",
167,4,2,Alpha M,No,Business Services,Male,,,,,,,,,,,,0,,
168,4,2,eCreamery,No,Food and Beverage,Female,,,,,,,,,,,,0,,
169,4,3,Rock Bands,Yes,Fashion / Beauty,Male,"1,00,000",40%,"2,50,000",,1,,,1,,,,2,"50,000",
170,4,3,Posture Now,Yes,Healthcare,Male,"1,00,000",30%,"3,33,333",,1,,,,,,,1,"1,00,000",
171,4,3,FuzziBunz,No,Children / Education,Female,,,,,,,,,,,,0,,
172,4,3,Liz Lovely Cookies,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0,,
173,4,4,Bag Bowl,Yes,Lifestyle / Home,Male,"40,000",33%,"1,21,212",,,1,,,,,,1,"40,000",
174,4,4,Back 9 Dips,Yes,Food and Beverage,Mixed Team,"1,50,000",25%,"6,00,000",,,1,1,,,,,2,"75,000",
175,4,4,Lift Hamper,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
176,4,4,Zomm,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
177,4,5,Cozy Bugs,Yes,Fashion / Beauty,Female,"50,000",30%,"1,66,667",,,,,1,,,,1,"50,000",
178,4,5,Marz Sprays,Yes,Healthcare,Male,"2,00,000",25%,"8,00,000",,,1,,,,,,1,"2,00,000",plus option to buy back option of half the stock for 4X investment
179,4,5,Wired Waffles,No,Food and Beverage,Male,,,,,,,,,,,,0,,
180,4,5,The Spatty and The Spaddy Dadd,No,Food and Beverage,Female,,,,,,,,,,,,0,,
181,4,6,PRO-NRG,Yes,Food and Beverage,Mixed Team,"2,50,000",30%,"8,33,333",,,,,1,,,,1,"2,50,000",contingent on a deal with Bad Ass Energy
182,4,6,Cousins Maine Lobster,Yes,Food and Beverage,Male,"55,000",15%,"3,66,667",1,,,,,,,,1,"55,000",
183,4,6,Freaker USA,No,Food and Beverage,Male,,,,,,,,,,,,0,,
184,4,6,EcoNutsSoap,No,Lifestyle / Home,Mixed Team,,,,,,,,,,,,0,,
185,4,7,SBU,Yes,Fitness / Sports,Male,"3,00,000",33%,"9,09,091",,,,1,,1,,,2,"1,50,000",
186,4,7,Scrub Daddy,Yes,Lifestyle / Home,Male,"2,00,000",20%,"10,00,000",,,1,,,,,,1,"2,00,000",
187,4,7,The Shemie,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
188,4,7,The Bear & The Rat,No,Pet Products,Mixed Team,,,,,,,,,,,,0,,
189,4,8,The Cool Wazoo,Yes,Children / Education,Female,"65,000",35%,"1,85,714",,,1,,,,,,1,"65,000",
190,4,8,Plate Topper,Yes,Food and Beverage,Male,"90,000",8%,"11,25,000",,,1,,,,,,1,"90,000",
191,4,8,No Fly Cone,No,Pet Products,Male,,,,,,,,,,,,0,,
192,4,9,Drive Suits,Yes,Uncertain / Other,Male,"1,50,000",30%,"5,00,000",,,,,,1,,,1,"1,50,000",
193,4,9,Ice Chips Candy,Yes,Food and Beverage,Female,"1,25,000",20%,"6,25,000",1,1,,,,,,,2,"62,500",
194,4,9,ReVestor,No,Software / Tech,Male,,,,,,,,,,,,0,,
195,4,9,PC Classes Online,No,Software / Tech,Male,,,,,,,,,,,,0,,
